# Stability boundary coordinates (det = 0)
# Columns: C11   C22   C12   x   y
  1.22206442   1.84074674  -1.11781533  -0.12141473  -0.44178624
  1.22206442   1.84074674  -1.11781533  -0.12152274  -0.44152303
  1.21461156   1.82515578  -1.10311165  -0.12147813  -0.43896555
  1.21461156   1.82515578  -1.10311165  -0.12373316  -0.43791223
  1.21461156   1.82515578  -1.10311165  -0.12377956  -0.43699901
  1.18763179   1.85213555  -1.09528766  -0.12861694  -0.43445776
  1.18065732   1.83637018  -1.08079780  -0.12813117  -0.43159607
  1.18065732   1.83637018  -1.08079780  -0.12902191  -0.43074096
  1.17380091   1.82078844  -1.06641603  -0.12826888  -0.42739646
  1.16706189   1.80538879  -1.05214089  -0.12754093  -0.42380082
  1.16706189   1.80538879  -1.05214089  -0.12771481  -0.42337885
  1.16706189   1.80538879  -1.05214089  -0.12805920  -0.42215462
  1.14133719   1.83111350  -1.04399134  -0.13397650  -0.41967149
  1.13506132   1.81554793  -1.02993118  -0.13370779  -0.41726975
  1.12889897   1.80016392  -1.01597401  -0.13345874  -0.41439087
  1.12889897   1.80016392  -1.01597401  -0.13467702  -0.41271596
  1.12284950   1.78495993  -1.00211844  -0.13408433  -0.40903478
  1.12284950   1.78495993  -1.00211844  -0.13430026  -0.40857011
  1.12284950   1.78495993  -1.00211844  -0.13463956  -0.40755976
  1.09275502   1.79409174  -0.98005242  -0.14028665  -0.40220877
  1.09275502   1.79409174  -0.98005242  -0.14158583  -0.40101293
  1.08726332   1.77890945  -0.96651073  -0.14098948  -0.39763007
  1.08726332   1.77890945  -0.96651073  -0.14126682  -0.39719410
  1.08188034   1.76390506  -0.95306569  -0.14142756  -0.39526355
  1.08188034   1.76390506  -0.95306569  -0.14425868  -0.39344414
  1.08188034   1.76390506  -0.95306569  -0.14448203  -0.39196987
  1.05364505   1.77203757  -0.93118130  -0.14495099  -0.38951145
  1.05364505   1.77203757  -0.93118130  -0.14733943  -0.38649569
